primary	secondaries
⺆	('𠔾', '丹')
⺈	('𠚤',)
⺊	('上',)
⺝	('𣍝',)
⿿	('\u2fff⿷',)
㇇	('𪜊',)
㇉	('丂', '𠀁')
㐅	('𠂭',)
㔾	('𭅲',)
㠯	('𠂤',)
䒑	('𰀆',)
丁	('亍',)
丂	('亏',)
七	('乇',)
丄	('士',)
丅	('工', '𬼽')
万	('方',)
丈	('𠀋',)
上	('㠪',)
下	('卞',)
丌	('亓', '亣')
不	('丕',)
丘	('乒',)
业	('亚',)
丨	('亻', '亠', '丅', '丄')
丩	('㔿',)
中	('𠀐', '𠂝', '𰀉', '虫')
丷	('乊', '䒑')
丿	('丆',)
乂	('义',)
之	('乏',)
乖	('𫡙',)
乚	('乇', '乇')
乛	('龴',)
九	('丸', '丸')
亅	('丁', '𰍧', '𰍨', '𠂌')
了	('子', '孑', '孒', '𡤼')
予	('矛',)
互	('𠀕',)
井	('丼',)
人	('亼', '𠆣', '𠆥', '𫝄')
亻	('彳',)
从	('丛',)
儿	('兀', '𢌬')
兀	('元',)
免	('兔',)
入	('𠓛',)
八	('𠔀', '𢌬')
兮	('𠂞',)
冂	('𠀃', '𰃦', '𠔼', '𰀃')
冄	('𠕅',)
内	('丙', '𡗚')
冉	('再',)
冊	('𠂨',)
冋	('向',)
冖	('宀',)
几	('凡', '凢')
凢	('𭂫',)
凵	('𠙵',)
刀	('刃', '刃', '刃', '𬺳', '刅')
刃	('刅', '丒')
力	('𠠲', '为')
勹	('勺', '勺')
勿	('匆',)
北	('丠',)
匚	('𰀄', '𰀂')
匸	('𬼖',)
十	('土', '士', '干', '千', '𬺱')
卄	('廿', '龷')
升	('𠦑',)
卜	('下',)
卝	('㐀',)
卩	('卪',)
厂	('广',)
厶	('𠫔', '么', '𠫓')
去	('丢', '丟')
又	('叉',)
友	('犮', '叐')
口	('𠮛', '𠮚')
史	('吏',)
右	('𠮮',)
否	('㕻',)
囘	('𠄢',)
土	('王', '龶', '耂', '𡈼', '𠂒', '圡', '𡈽')
圥	('先',)
士	('壬', '壬')
夕	('𱼀', '歹')
大	('天', '犬', '夭', '太', '𡗓')
天	('矢',)
夫	('失', '𠂕')
夶	('𠀤',)
奭	('𠁗',)
女	('𰋵',)
宀	('㝉',)
小	('朩', '少', '𡭕', '㣺')
尔	('𫡓',)
尢	('无', '尤')
尤	('𡯊',)
尸	('戶', '戸', '户', '𰍰')
屮	('㞢',)
山	('屲',)
巛	('𡿧',)
川	('卅', '州')
巳	('𢀳',)
巾	('帀', '巿', '币')
巿	('𪩲',)
幺	('𢆰', '糹')
廾	('开', '升', '𠦑')
廿	('甘',)
弋	('弌',)
弓	('弖',)
弔	('𢎨',)
弚	('弟',)
彑	('互',)
心	('必',)
忄	('㣺',)
怨	('㤪',)
戈	('戋',)
戊	('戌', '戍')
戋	('㦮',)
支	('𭣔',)
斤	('斥',)
日	('白', '旦', '𣄼')
旦	('亘',)
曳	('曵',)
書	('晝',)
月	('𣍝',)
木	('禾', '未', '本', '术', '末', '𣎶')
未	('朱', '耒', '耒', '𦓤')
止	('正', '𠂛', '𬼉')
正	('㱏',)
氏	('氐', '氐', '𫞕')
水	('𣱲', '𣱳', '永', '永', '氷')
氶	('丞',)
氺	('求',)
火	('灭',)
爿	('𤕫',)
牛	('𤘔',)
王	('玉', '主')
生	('𤯔',)
用	('甪',)
田	('甶', '𰢴')
由	('𤰔',)
畨	('番',)
白	('百', '𬐃')
皿	('血',)
目	('自',)
睪	('睾',)
礻	('衤',)
禾	('𥝍',)
米	('釆',)
糸	('系',)
羌	('𦍑',)
肀	('𦘒',)
自	('𦣻',)
舟	('𠄭',)
艮	('良', '良')
虫	('䖝',)
血	('𮕜',)
西	('酉',)
言	('訁',)
豕	('豖',)
車	('重',)
隶	('𮥴',)
非	('韭',)
鳥	('𩾏',)
黽	('𪓑',)
龰	('𤴓',)
龱	('囟',)
龴	('𠚤',)
龶	('生',)
龷	('𠀗',)
？	('𬼂', '乐', '𭼽', '𮍌', '𬻞')
𠀁	('亐', '专')
𠀃	('𠀇',)
𠀐	('𮓱',)
𠀔	('亥',)
𠁤	('西', '酉')
𠂆	('𠂋',)
𠂊	('夕',)
𠂎	('𠂑',)
𠂤	('𫠨',)
𠃋	('厶',)
𠃌	('勹', '刁')
𠃔	('𭀗',)
𠆢	('亼', '亽')
𠔾	('舟',)
𠕀	('𠬦',)
𠕁	('𠕋', '𠂥')
𠕒	('雨',)
𠘬	('𠘲',)
𠙼	('𠚃',)
𠦏	('坐',)
𠦬	('𡍮',)
𡉀	('𡉊',)
𡉵	('𡊥',)
𡭔	('少', '㣺')
𡯃	('龙',)
𡳾	('屯', '屯')
𢆶	('𫠩',)
𣎳	('朮',)
𤰞	('卑',)
𤱪	('畫',)
𥃰	('𰥐',)
𦉫	('𦓐', '冊')
𦓐	('而',)
𧰨	('豕',)
𧴮	('貮',)
𫇦	('𰰡',)
𫝀	('五',)
𫠠	('𭠍', '弋')
𫠩	('𠄮',)
𫡙	('埀',)
𫶧	('𥘅',)
𬺰	('寸', '于', '才', '才')
𭁠	('𮉼',)
𭕄	('爫',)
𭠍	('戈',)
𰀁	('牛',)
𰀆	('立',)
𰆊	('卫', '𪜁')
𰛅	('𣱱',)
𰢴	('𱰥',)
𰢵	('画',)
